state-code,urban-percentage,rural-percentage,p-value
0,26.974288471183012,15.263288902255665,0.4979621516701991
1,34.32487427335445,31.933408431652843,0.7977836547600463
2,28.279345641287808,11.345455428631569,0.4897815899170961
3,22.62686762932264,16.445332247244497,0.8078537676390286
4,24.411203954566137,25.421682591148976,0.8693294588248044
5,26.40946985870376,10.865780847792951,0.3737022902949583
6,25.58458095319632,13.292914643142717,0.40943484152345133
7,32.78010329222509,22.250514268259504,0.4726509712854987
8,16.593746453047366,7.063095413406106,0.2970291703416138
9,23.908036718590555,6.213120088287924,0.3565126827542824
10,20.51053511068534,13.718197971276947,0.32554226955951404
11,33.561447603172326,34.147558309755595,0.8094193539097012
12,31.901036333101217,34.336498624289405,0.8602991667230503
13,33.78204656669574,35.47745848063567,0.82139603726198
14,22.77840782397495,28.77836805761659,0.9949100180496511
15,26.521981702464796,20.000951592490033,0.3927032783357014
16,19.00831345890023,32.71077514761486,0.9665909977088413
17,33.08321437568226,14.775627793925967,0.8201057823928504
18,29.455419545840417,32.8737785761752,0.928064923865044
19,20.074693563764924,10.138623970144435,0.3609628391680053
20,29.642177212553893,24.17134845306577,0.4513814373040641
21,23.265248892863955,19.07412297234457,0.7998696102649043
22,17.925610852320702,9.67651863444649,0.3071998441664826
23,18.855127992085468,9.069353958197784,0.3076781565290765
24,34.5880337616313,24.26040310758366,0.7507085582303474
25,33.38073075892393,34.753957215709654,0.6773444431017546
26,35.36411469846508,38.59562895245585,0.7634043691088704
27,38.1544731786266,29.738239966376025,0.9259128688847862
28,23.877600523759195,15.082795051150159,0.4767969700660257
29,32.70216044536091,23.20368109015012,0.7821941817193796
30,25.787206637744898,27.379465717895137,0.6289083848364794
31,14.050703329889533,10.607453503995474,0.42149382345958164
32,15.823393218142337,14.041033968314022,0.4060750391566803
33,29.920174560334324,20.203682071169734,0.410345706062309
34,28.692364612027166,19.21862348178138,0.43469449434272023
35,48.960888715432645,48.27810184189327,0.9703746588374635
