state-code,urban-percentage,rural-percentage,p-value
0,13.424759674746731,4.243962545210197,0.4979621516701991
1,24.393736299392817,13.819891392898159,0.7977836547600463
2,9.653446653266565,4.546870572615183,0.4897815899170961
3,34.60902462567599,24.393583742615395,0.8078537676390286
4,30.943856500844163,15.01500465661757,0.8693294588248044
5,3.843817904082788,1.0034313141737177,0.3737022902949583
6,6.871713663593377,3.4099870261468053,0.40943484152345133
7,8.264202742041478,1.3063129710148387,0.4726509712854987
8,2.33013854635286,1.1835006486945954,0.2970291703416138
9,2.9617128534012864,0.8162955315248313,0.3565126827542824
10,3.5711466968577015,1.3673991381290627,0.32554226955951404
11,41.168656969097135,25.859137547346933,0.8094193539097012
12,39.71307846702104,27.43112538190739,0.8602991667230503
13,40.50941737336374,21.753333484898434,0.82139603726198
14,28.85977888974938,18.602866979284148,0.9949100180496511
15,6.094922617621391,3.4480002283821976,0.3927032783357014
16,9.059621219133957,4.109658229565443,0.9665909977088413
17,25.464438659837096,5.199501231109044,0.8201057823928504
18,31.445056111775223,11.076842742095227,0.928064923865044
19,7.62014865293035,1.067934633635984,0.3609628391680053
20,8.330164106893921,3.720611789875847,0.4513814373040641
21,30.90118932169141,9.611126638456655,0.7998696102649043
22,3.791763744650921,1.006953247204031,0.3071998441664826
23,3.464053867067808,1.0707111789615789,0.3076781565290765
24,21.51588713075813,8.737057679479829,0.7507085582303474
25,14.652914121333763,12.929664216173256,0.6773444431017546
26,19.8374793735795,21.65754666491912,0.7634043691088704
27,26.86387583643903,9.865760769603337,0.9259128688847862
28,14.11408417887546,4.189923150298052,0.4767969700660257
29,24.481297311830097,5.466301977336934,0.7821941817193796
30,52.87390798995163,47.44721612524944,0.6289083848364794
31,15.842803782881665,14.192772788345945,0.42149382345958164
32,11.474606157568601,7.786231403970034,0.4060750391566803
33,5.379815931523044,1.5274651157855887,0.410345706062309
34,7.814220530446684,1.2725202429149798,0.43469449434272023
35,24.09400089206066,16.084827472763852,0.9703746588374635
