C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
00,INDIA,,,,,,,,,,,005000,GUJARATI,202,152,50
00,INDIA,,,,,,,,,,,007000,KANNADA,225,186,39
00,INDIA,,,,,,,,,,,008000,KASHMIRI ,3,2,1
00,INDIA,,,,,,,,,,,009000,KONKANI,47,38,9
00,INDIA,,,,,,,,,,,010000,MAITHILI ,18,7,11
00,INDIA,,,,,,,,,,,011000,MALAYALAM,141,119,22
00,INDIA,,,,,,,,,,,012000,MANIPURI ,411,265,146
00,INDIA,,,,,,,,,,,013000,MARATHI ,310,223,87
00,INDIA,,,,,,,,,,,014000,NEPALI ,17923,11589,6334
00,INDIA,,,,,,,,,,,015000,ODIA ,8704,4972,3732
00,INDIA,,,,,,,,,,,016000,PUNJABI ,403,247,156
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,929,591,338
00,INDIA,,,,,,,,,,,018000,SANTALI ,289,173,116
00,INDIA,,,,,,,,,,,019000,SINDHI,8,7,1
00,INDIA,,,,,,,,,,,020000,TAMIL ,147,121,26
00,INDIA,,,,,,,,,,,021000,TELUGU ,220,154,66
00,INDIA,,,,,,,,,,,022000,URDU,1646,1146,500
00,INDIA,,,,,,,,,,,023000,ADI ,137,76,61
00,INDIA,,,,,,,,,,,024000,AFGHANI/KABULI/PASHTO ,2,1,1
00,INDIA,,,,,,,,,,,026000,ANGAMI ,9,3,6
00,INDIA,,,,,,,,,,,027000,AO ,51,29,22
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,1704,1145,559
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,2,2,0
00,INDIA,,,,,,,,,,,031000,BHOTIA ,8,7,1
00,INDIA,,,,,,,,,,,032000,BHUMIJ ,3,3,0
00,INDIA,,,,,,,,,,,033000,BISHNUPURIYA,3,2,1
00,INDIA,,,,,,,,,,,035000,CHAKRU/CHOKRI ,2,1,1
00,INDIA,,,,,,,,,,,037000,COORGI/KODAGU ,2,0,2
00,INDIA,,,,,,,,,,,038000,DEORI ,108,66,42
00,INDIA,,,,,,,,,,,039000,DIMASA ,30,13,17
00,INDIA,,,,,,,,,,,040000,ENGLISH ,717634,428003,289631
00,INDIA,,,,,,,,,,,043000,GARO ,1639,1380,259
00,INDIA,,,,,,,,,,,044000,GONDI,5,2,3
00,INDIA,,,,,,,,,,,046000,HALAM ,1,1,0
00,INDIA,,,,,,,,,,,047000,HMAR,2,1,1
00,INDIA,,,,,,,,,,,048000,HO,1,0,1
00,INDIA,,,,,,,,,,,051000,KABUI ,2,1,1
00,INDIA,,,,,,,,,,,052000,KARBI/MIKIR ,919,553,366
00,INDIA,,,,,,,,,,,054000,KHARIA ,50,24,26
00,INDIA,,,,,,,,,,,055000,KHASI ,612,436,176
00,INDIA,,,,,,,,,,,056000,KHEZHA ,1,1,0
00,INDIA,,,,,,,,,,,060000,KISAN ,1,1,0
00,INDIA,,,,,,,,,,,061000,KOCH ,9,8,1
00,INDIA,,,,,,,,,,,065000,KONDA,1,1,0
00,INDIA,,,,,,,,,,,066000,KONYAK ,3,2,1
00,INDIA,,,,,,,,,,,068000,KORWA ,9,5,4
00,INDIA,,,,,,,,,,,071000,KUKI,1,1,0
00,INDIA,,,,,,,,,,,072000,KURUKH/ORAON ,13,8,5
00,INDIA,,,,,,,,,,,073000,LADAKHI ,1,0,1
00,INDIA,,,,,,,,,,,076000,LAKHER,1,1,0
00,INDIA,,,,,,,,,,,077000,LALUNG ,31,19,12
00,INDIA,,,,,,,,,,,079000,LIANGMEI ,7,4,3
00,INDIA,,,,,,,,,,,080000,LIMBU ,1,0,1
00,INDIA,,,,,,,,,,,081000,LOTHA ,6,4,2
00,INDIA,,,,,,,,,,,082000,LUSHAI/MIZO ,63,46,17
00,INDIA,,,,,,,,,,,085000,MARAM,21,15,6
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,1127,725,402
00,INDIA,,,,,,,,,,,088000,MISHMI ,13,6,7
00,INDIA,,,,,,,,,,,089000,MOGH ,1,0,1
00,INDIA,,,,,,,,,,,090000,MONPA ,3,3,0
00,INDIA,,,,,,,,,,,091000,MUNDA,309,198,111
00,INDIA,,,,,,,,,,,092000,MUNDARI ,49,35,14
00,INDIA,,,,,,,,,,,093000,NICOBARESE ,1,0,1
00,INDIA,,,,,,,,,,,094000,NISSI/DAFLA ,53,32,21
00,INDIA,,,,,,,,,,,095000,NOCTE ,5,4,1
00,INDIA,,,,,,,,,,,096000,PAITE,1,1,0
00,INDIA,,,,,,,,,,,102000,RABHA ,424,254,170
00,INDIA,,,,,,,,,,,104000,RENGMA ,5,3,2
00,INDIA,,,,,,,,,,,106000,SAVARA,64,32,32
00,INDIA,,,,,,,,,,,107000,SEMA,7,5,2
00,INDIA,,,,,,,,,,,109000,SHINA,2,1,1
00,INDIA,,,,,,,,,,,111000,TAMANG ,3,3,0
00,INDIA,,,,,,,,,,,112000,TANGKHUL ,4,2,2
00,INDIA,,,,,,,,,,,113000,TANGSA,23,11,12
00,INDIA,,,,,,,,,,,115000,TIBETAN ,3,1,2
00,INDIA,,,,,,,,,,,116000,TRIPURI ,3,2,1
00,INDIA,,,,,,,,,,,117000,TULU ,3,1,2
00,INDIA,,,,,,,,,,,118000,VAIPHEI ,5,3,2
00,INDIA,,,,,,,,,,,119000,WANCHO,83,47,36
00,INDIA,,,,,,,,,,,121000,ZELIANG ,1,1,0
00,INDIA,,,,,,,,,,,123000,ZOU ,1,0,1
00,INDIA,,,,,,,,,,,124000,OTHERS,4571,2937,1634
00,INDIA,,,,,,007000,KANNADA,569,419,150,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,3,2,1
00,INDIA,,,,,,,,,,,006000,HINDI ,165,129,36
00,INDIA,,,,,,,,,,,013000,MARATHI ,1,0,1
00,INDIA,,,,,,,,,,,014000,NEPALI ,7,6,1
00,INDIA,,,,,,,,,,,015000,ODIA ,1,0,1
00,INDIA,,,,,,,,,,,020000,TAMIL ,12,11,1
00,INDIA,,,,,,,,,,,021000,TELUGU ,2,2,0
00,INDIA,,,,,,,,,,,022000,URDU,2,1,1
00,INDIA,,,,,,,,,,,037000,COORGI/KODAGU ,10,5,5
00,INDIA,,,,,,,,,,,040000,ENGLISH ,81,55,26
00,INDIA,,,,,,008000,KASHMIRI ,4,0,4,,,,,
00,INDIA,,,,,,,,,,,022000,URDU,1,0,1
00,INDIA,,,,,,009000,KONKANI,27,17,10,,,,,
