C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
00,INDIA,,,,,,,,,,,075000,LAHNDA ,1,0,1
00,INDIA,,,,,,,,,,,076000,LAKHER,1,1,0
00,INDIA,,,,,,,,,,,102000,RABHA ,2,1,1
00,INDIA,,,,,,,,,,,107000,SEMA,1,0,1
00,INDIA,,,,,,,,,,,116000,TRIPURI ,8,4,4
00,INDIA,,,,,,,,,,,117000,TULU ,9,5,4
00,INDIA,,,,,,,,,,,124000,OTHERS,1264,705,559
00,INDIA,,,,,,043000,GARO ,60,29,31,,,,,
00,INDIA,,,,,,044000,GONDI,241,127,114,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,48,26,22
00,INDIA,,,,,,,,,,,013000,MARATHI ,6,4,2
00,INDIA,,,,,,,,,,,040000,ENGLISH ,6,4,2
00,INDIA,,,,,,045000,HALABI,41,20,21,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,1,1,0
00,INDIA,,,,,,,,,,,006000,HINDI ,13,8,5
00,INDIA,,,,,,,,,,,044000,GONDI,2,1,1
00,INDIA,,,,,,048000,HO,1,0,1,,,,,
00,INDIA,,,,,,,,,,,015000,ODIA ,1,0,1
00,INDIA,,,,,,052000,KARBI/MIKIR ,2,0,2,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,1,0,1
00,INDIA,,,,,,,,,,,006000,HINDI ,1,0,1
00,INDIA,,,,,,053000,KHANDESHI,8357,3923,4434,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,212,114,98
00,INDIA,,,,,,,,,,,013000,MARATHI ,549,273,276
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,389,202,187
00,INDIA,,,,,,,,,,,040000,ENGLISH ,9,7,2
00,INDIA,,,,,,055000,KHASI ,19,11,8,,,,,
00,INDIA,,,,,,,,,,,040000,ENGLISH ,10,9,1
00,INDIA,,,,,,062000,KODA/KORA ,1,0,1,,,,,
00,INDIA,,,,,,067000,KORKU ,1,0,1,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,1,0,1
00,INDIA,,,,,,069000,KOYA ,2,0,2,,,,,
00,INDIA,,,,,,071000,KUKI,8,3,5,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,5,2,3
00,INDIA,,,,,,,,,,,019000,SINDHI,2,1,1
00,INDIA,,,,,,072000,KURUKH/ORAON ,4,1,3,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,1,0,1
00,INDIA,,,,,,075000,LAHNDA ,110,52,58,,,,,
00,INDIA,,,,,,,,,,,004000,DOGRI ,6,1,5
00,INDIA,,,,,,,,,,,006000,HINDI ,65,33,32
00,INDIA,,,,,,,,,,,016000,PUNJABI ,30,16,14
00,INDIA,,,,,,079000,LIANGMEI ,3,0,3,,,,,
00,INDIA,,,,,,,,,,,013000,MARATHI ,1,0,1
00,INDIA,,,,,,082000,LUSHAI/MIZO ,2,2,0,,,,,
00,INDIA,,,,,,,,,,,040000,ENGLISH ,1,1,0
00,INDIA,,,,,,091000,MUNDA,24,15,9,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,1,1,0
00,INDIA,,,,,,,,,,,006000,HINDI ,2,1,1
00,INDIA,,,,,,092000,MUNDARI ,5,2,3,,,,,
00,INDIA,,,,,,093000,NICOBARESE ,1,0,1,,,,,
00,INDIA,,,,,,094000,NISSI/DAFLA ,1,1,0,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,1,1,0
00,INDIA,,,,,,096000,PAITE,1,0,1,,,,,
00,INDIA,,,,,,102000,RABHA ,145,81,64,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,33,21,12
00,INDIA,,,,,,,,,,,040000,ENGLISH ,1,1,0
00,INDIA,,,,,,104000,RENGMA ,1,0,1,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,1,0,1
00,INDIA,,,,,,106000,SAVARA,1,1,0,,,,,
00,INDIA,,,,,,115000,TIBETAN ,4,2,2,,,,,
00,INDIA,,,,,,116000,TRIPURI ,7,5,2,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,5,5,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,1,0,1
00,INDIA,,,,,,117000,TULU ,105,59,46,,,,,
00,INDIA,,,,,,,,,,,006000,HINDI ,35,22,13
00,INDIA,,,,,,,,,,,007000,KANNADA,16,8,8
00,INDIA,,,,,,,,,,,009000,KONKANI,1,0,1
00,INDIA,,,,,,,,,,,013000,MARATHI ,2,0,2
00,INDIA,,,,,,,,,,,019000,SINDHI,1,0,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,14,9,5
00,INDIA,,,,,,124000,OTHERS,32514,15910,16604,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,13,8,5
00,INDIA,,,,,,,,,,,006000,HINDI ,6798,3936,2862
00,INDIA,,,,,,,,,,,007000,KANNADA,8,4,4
00,INDIA,,,,,,,,,,,009000,KONKANI,1,0,1
00,INDIA,,,,,,,,,,,013000,MARATHI ,199,113,86
00,INDIA,,,,,,,,,,,016000,PUNJABI ,3,2,1
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,9,3,6
00,INDIA,,,,,,,,,,,019000,SINDHI,31,19,12
00,INDIA,,,,,,,,,,,020000,TAMIL ,15,11,4
00,INDIA,,,,,,,,,,,021000,TELUGU ,10,7,3
00,INDIA,,,,,,,,,,,022000,URDU,18,9,9
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,6,5,1
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,5,3,2
00,INDIA,,,,,,,,,,,040000,ENGLISH ,891,512,379
00,INDIA,,,,,,,,,,,053000,KHANDESHI,6,2,4
00,INDIA,006000,HINDI ,528347193,276610187,251737006,,,,,,,,,,
00,INDIA,,,,,,001000,ASSAMESE,917778,510895,406883,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,67594,41172,26422
00,INDIA,,,,,,,,,,,003000,BODO ,800,479,321
00,INDIA,,,,,,,,,,,004000,DOGRI ,1,1,0
00,INDIA,,,,,,,,,,,005000,GUJARATI,60,41,19
00,INDIA,,,,,,,,,,,007000,KANNADA,12,9,3
00,INDIA,,,,,,,,,,,010000,MAITHILI ,80,49,31
00,INDIA,,,,,,,,,,,011000,MALAYALAM,5,4,1
00,INDIA,,,,,,,,,,,012000,MANIPURI ,51,33,18
00,INDIA,,,,,,,,,,,013000,MARATHI ,54,30,24
00,INDIA,,,,,,,,,,,014000,NEPALI ,8613,5111,3502
00,INDIA,,,,,,,,,,,015000,ODIA ,1591,786,805
00,INDIA,,,,,,,,,,,016000,PUNJABI ,286,178,108
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,62,48,14
00,INDIA,,,,,,,,,,,018000,SANTALI ,73,46,27
00,INDIA,,,,,,,,,,,019000,SINDHI,2,1,1
00,INDIA,,,,,,,,,,,020000,TAMIL ,13,11,2
00,INDIA,,,,,,,,,,,021000,TELUGU ,42,22,20
00,INDIA,,,,,,,,,,,022000,URDU,522,327,195
00,INDIA,,,,,,,,,,,023000,ADI ,69,35,34
00,INDIA,,,,,,,,,,,027000,AO ,46,31,15
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,145,81,64
00,INDIA,,,,,,,,,,,031000,BHOTIA ,14,13,1
00,INDIA,,,,,,,,,,,032000,BHUMIJ ,7,2,5
00,INDIA,,,,,,,,,,,033000,BISHNUPURIYA,2,2,0
00,INDIA,,,,,,,,,,,034000,CHAKHESANG ,1,1,0
00,INDIA,,,,,,,,,,,035000,CHAKRU/CHOKRI ,1,1,0
00,INDIA,,,,,,,,,,,036000,CHANG ,8,5,3
00,INDIA,,,,,,,,,,,038000,DEORI ,10,7,3
00,INDIA,,,,,,,,,,,039000,DIMASA ,19,15,4
00,INDIA,,,,,,,,,,,040000,ENGLISH ,50056,32231,17825
00,INDIA,,,,,,,,,,,043000,GARO ,105,85,20
00,INDIA,,,,,,,,,,,044000,GONDI,4,1,3
00,INDIA,,,,,,,,,,,052000,KARBI/MIKIR ,369,227,142
00,INDIA,,,,,,,,,,,054000,KHARIA ,11,5,6
00,INDIA,,,,,,,,,,,055000,KHASI ,41,30,11
00,INDIA,,,,,,,,,,,061000,KOCH ,1,0,1
00,INDIA,,,,,,,,,,,066000,KONYAK ,2,0,2
00,INDIA,,,,,,,,,,,068000,KORWA ,2,1,1
00,INDIA,,,,,,,,,,,069000,KOYA ,2,1,1
00,INDIA,,,,,,,,,,,072000,KURUKH/ORAON ,75,27,48
00,INDIA,,,,,,,,,,,073000,LADAKHI ,1,0,1
00,INDIA,,,,,,,,,,,077000,LALUNG ,4,2,2
00,INDIA,,,,,,,,,,,079000,LIANGMEI ,3,2,1
00,INDIA,,,,,,,,,,,081000,LOTHA ,15,7,8
00,INDIA,,,,,,,,,,,082000,LUSHAI/MIZO ,3,2,1
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,304,183,121
00,INDIA,,,,,,,,,,,088000,MISHMI ,4,2,2
00,INDIA,,,,,,,,,,,091000,MUNDA,202,87,115
00,INDIA,,,,,,,,,,,092000,MUNDARI ,37,17,20
00,INDIA,,,,,,,,,,,094000,NISSI/DAFLA ,10,9,1
00,INDIA,,,,,,,,,,,095000,NOCTE ,6,5,1
00,INDIA,,,,,,,,,,,096000,PAITE,1,0,1
00,INDIA,,,,,,,,,,,100000,PHOM ,4,2,2
00,INDIA,,,,,,,,,,,102000,RABHA ,39,21,18
00,INDIA,,,,,,,,,,,105000,SANGTAM ,12,9,3
00,INDIA,,,,,,,,,,,106000,SAVARA,9,5,4
00,INDIA,,,,,,,,,,,107000,SEMA,2,1,1
00,INDIA,,,,,,,,,,,113000,TANGSA,8,3,5
00,INDIA,,,,,,,,,,,117000,TULU ,1,1,0
00,INDIA,,,,,,,,,,,119000,WANCHO,8,4,4
00,INDIA,,,,,,,,,,,120000,YIMCHUNGRE,3,3,0
00,INDIA,,,,,,,,,,,121000,ZELIANG ,1,0,1
00,INDIA,,,,,,,,,,,124000,OTHERS,1005,543,462
00,INDIA,,,,,,002000,BENGALI ,2895514,1586258,1309256,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,17146,10346,6800
00,INDIA,,,,,,,,,,,003000,BODO ,277,146,131
00,INDIA,,,,,,,,,,,004000,DOGRI ,12,7,5
00,INDIA,,,,,,,,,,,005000,GUJARATI,908,596,312
00,INDIA,,,,,,,,,,,007000,KANNADA,187,121,66
00,INDIA,,,,,,,,,,,008000,KASHMIRI ,11,11,0
00,INDIA,,,,,,,,,,,009000,KONKANI,33,23,10
00,INDIA,,,,,,,,,,,010000,MAITHILI ,689,403,286
00,INDIA,,,,,,,,,,,011000,MALAYALAM,56,32,24
00,INDIA,,,,,,,,,,,012000,MANIPURI ,244,174,70
00,INDIA,,,,,,,,,,,013000,MARATHI ,1841,1118,723
00,INDIA,,,,,,,,,,,014000,NEPALI ,11595,7626,3969
00,INDIA,,,,,,,,,,,015000,ODIA ,6141,3487,2654
00,INDIA,,,,,,,,,,,016000,PUNJABI ,1416,922,494
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,608,403,205
00,INDIA,,,,,,,,,,,018000,SANTALI ,4004,2242,1762
00,INDIA,,,,,,,,,,,019000,SINDHI,42,18,24
00,INDIA,,,,,,,,,,,020000,TAMIL ,275,187,88
00,INDIA,,,,,,,,,,,021000,TELUGU ,598,354,244
00,INDIA,,,,,,,,,,,022000,URDU,13523,7875,5648
00,INDIA,,,,,,,,,,,023000,ADI ,4,2,2
00,INDIA,,,,,,,,,,,026000,ANGAMI ,1,1,0
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,412,204,208
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,5,3,2
00,INDIA,,,,,,,,,,,031000,BHOTIA ,11,9,2
00,INDIA,,,,,,,,,,,033000,BISHNUPURIYA,23,12,11
00,INDIA,,,,,,,,,,,039000,DIMASA ,25,13,12
00,INDIA,,,,,,,,,,,040000,ENGLISH ,203905,128430,75475
00,INDIA,,,,,,,,,,,043000,GARO ,274,222,52
00,INDIA,,,,,,,,,,,044000,GONDI,8,6,2
00,INDIA,,,,,,,,,,,045000,HALABI,21,10,11
00,INDIA,,,,,,,,,,,046000,HALAM ,5,3,2
00,INDIA,,,,,,,,,,,047000,HMAR,5,5,0
00,INDIA,,,,,,,,,,,048000,HO,95,62,33
00,INDIA,,,,,,,,,,,052000,KARBI/MIKIR ,3,2,1
00,INDIA,,,,,,,,,,,053000,KHANDESHI,1,1,0
00,INDIA,,,,,,,,,,,054000,KHARIA ,12,7,5
00,INDIA,,,,,,,,,,,055000,KHASI ,34,26,8
00,INDIA,,,,,,,,,,,056000,KHEZHA ,1,1,0
00,INDIA,,,,,,,,,,,061000,KOCH ,9,2,7
00,INDIA,,,,,,,,,,,062000,KODA/KORA ,2,2,0
00,INDIA,,,,,,,,,,,068000,KORWA ,13,7,6
00,INDIA,,,,,,,,,,,069000,KOYA ,16,9,7
00,INDIA,,,,,,,,,,,071000,KUKI,11,7,4
00,INDIA,,,,,,,,,,,072000,KURUKH/ORAON ,199,90,109
00,INDIA,,,,,,,,,,,077000,LALUNG ,4,2,2
00,INDIA,,,,,,,,,,,079000,LIANGMEI ,1,0,1
00,INDIA,,,,,,,,,,,082000,LUSHAI/MIZO ,62,43,19
00,INDIA,,,,,,,,,,,083000,MALTO ,13,6,7
00,INDIA,,,,,,,,,,,088000,MISHMI ,1,1,0
00,INDIA,,,,,,,,,,,089000,MOGH ,1,1,0
00,INDIA,,,,,,,,,,,091000,MUNDA,27,13,14
00,INDIA,,,,,,,,,,,092000,MUNDARI ,282,131,151
00,INDIA,,,,,,,,,,,093000,NICOBARESE ,1,0,1
00,INDIA,,,,,,,,,,,094000,NISSI/DAFLA ,1,0,1
00,INDIA,,,,,,,,,,,102000,RABHA ,14,6,8
00,INDIA,,,,,,,,,,,106000,SAVARA,1,1,0
00,INDIA,,,,,,,,,,,111000,TAMANG ,1,1,0
00,INDIA,,,,,,,,,,,115000,TIBETAN ,1,1,0
00,INDIA,,,,,,,,,,,116000,TRIPURI ,167,107,60
00,INDIA,,,,,,,,,,,117000,TULU ,3,1,2
00,INDIA,,,,,,,,,,,119000,WANCHO,2,1,1
00,INDIA,,,,,,,,,,,124000,OTHERS,1148,702,446
00,INDIA,,,,,,003000,BODO ,848,476,372,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,227,127,100
00,INDIA,,,,,,,,,,,002000,BENGALI ,83,47,36
00,INDIA,,,,,,,,,,,014000,NEPALI ,12,6,6
00,INDIA,,,,,,,,,,,040000,ENGLISH ,13,10,3
00,INDIA,,,,,,,,,,,043000,GARO ,6,4,2
00,INDIA,,,,,,,,,,,055000,KHASI ,1,1,0
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,5,1,4
00,INDIA,,,,,,,,,,,091000,MUNDA,2,2,0
00,INDIA,,,,,,,,,,,102000,RABHA ,8,5,3
00,INDIA,,,,,,,,,,,124000,OTHERS,4,3,1
00,INDIA,,,,,,004000,DOGRI ,97839,51017,46822,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,2,2,0
00,INDIA,,,,,,,,,,,005000,GUJARATI,30,18,12
00,INDIA,,,,,,,,,,,007000,KANNADA,1,1,0
00,INDIA,,,,,,,,,,,008000,KASHMIRI ,264,145,119
00,INDIA,,,,,,,,,,,010000,MAITHILI ,1,1,0
00,INDIA,,,,,,,,,,,011000,MALAYALAM,1,1,0
00,INDIA,,,,,,,,,,,013000,MARATHI ,3,3,0
00,INDIA,,,,,,,,,,,014000,NEPALI ,47,28,19
00,INDIA,,,,,,,,,,,016000,PUNJABI ,1391,800,591
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,13,8,5
00,INDIA,,,,,,,,,,,020000,TAMIL ,3,3,0
00,INDIA,,,,,,,,,,,022000,URDU,9645,6458,3187
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,3,3,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,4901,2918,1983
00,INDIA,,,,,,,,,,,053000,KHANDESHI,20,5,15
00,INDIA,,,,,,,,,,,056000,KHEZHA ,2,2,0
00,INDIA,,,,,,,,,,,073000,LADAKHI ,9,7,2
00,INDIA,,,,,,,,,,,075000,LAHNDA ,19,9,10
00,INDIA,,,,,,,,,,,124000,OTHERS,4,2,2
00,INDIA,,,,,,005000,GUJARATI,1905367,1071065,834302,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,44,32,12
00,INDIA,,,,,,,,,,,002000,BENGALI ,1021,628,393
00,INDIA,,,,,,,,,,,004000,DOGRI ,25,12,13
00,INDIA,,,,,,,,,,,007000,KANNADA,334,192,142
00,INDIA,,,,,,,,,,,008000,KASHMIRI ,6,3,3
00,INDIA,,,,,,,,,,,009000,KONKANI,47,35,12
00,INDIA,,,,,,,,,,,010000,MAITHILI ,69,43,26
00,INDIA,,,,,,,,,,,011000,MALAYALAM,101,56,45
00,INDIA,,,,,,,,,,,013000,MARATHI ,29444,17286,12158
00,INDIA,,,,,,,,,,,014000,NEPALI ,314,196,118
00,INDIA,,,,,,,,,,,015000,ODIA ,126,73,53
00,INDIA,,,,,,,,,,,016000,PUNJABI ,1564,909,655
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,885,598,287
00,INDIA,,,,,,,,,,,018000,SANTALI ,2,2,0
00,INDIA,,,,,,,,,,,019000,SINDHI,2051,1169,882
00,INDIA,,,,,,,,,,,020000,TAMIL ,294,196,98
00,INDIA,,,,,,,,,,,021000,TELUGU ,317,189,128
00,INDIA,,,,,,,,,,,022000,URDU,38580,20270,18310
00,INDIA,,,,,,,,,,,023000,ADI ,1,1,0
00,INDIA,,,,,,,,,,,024000,AFGHANI/KABULI/PASHTO ,5,3,2
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,1298,693,605
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,489,277,212
00,INDIA,,,,,,,,,,,040000,ENGLISH ,246445,151809,94636
00,INDIA,,,,,,,,,,,043000,GARO ,1,1,0
00,INDIA,,,,,,,,,,,044000,GONDI,83,41,42
00,INDIA,,,,,,,,,,,045000,HALABI,3,3,0
00,INDIA,,,,,,,,,,,053000,KHANDESHI,21,12,9
00,INDIA,,,,,,,,,,,067000,KORKU ,7,3,4
00,INDIA,,,,,,,,,,,072000,KURUKH/ORAON ,2,0,2
00,INDIA,,,,,,,,,,,075000,LAHNDA ,1,1,0
00,INDIA,,,,,,,,,,,079000,LIANGMEI ,1,1,0
00,INDIA,,,,,,,,,,,102000,RABHA ,7,4,3
00,INDIA,,,,,,,,,,,116000,TRIPURI ,4,2,2
00,INDIA,,,,,,,,,,,117000,TULU ,6,4,2
00,INDIA,,,,,,,,,,,124000,OTHERS,9058,5191,3867
00,INDIA,,,,,,007000,KANNADA,1120670,594812,525858,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,32,21,11
00,INDIA,,,,,,,,,,,002000,BENGALI ,360,226,134
00,INDIA,,,,,,,,,,,005000,GUJARATI,595,350,245
00,INDIA,,,,,,,,,,,008000,KASHMIRI ,8,6,2
00,INDIA,,,,,,,,,,,009000,KONKANI,2196,1319,877
00,INDIA,,,,,,,,,,,010000,MAITHILI ,25,14,11
00,INDIA,,,,,,,,,,,011000,MALAYALAM,550,310,240
00,INDIA,,,,,,,,,,,012000,MANIPURI ,1,0,1
00,INDIA,,,,,,,,,,,013000,MARATHI ,35277,19479,15798
00,INDIA,,,,,,,,,,,014000,NEPALI ,107,67,40
00,INDIA,,,,,,,,,,,015000,ODIA ,93,71,22
00,INDIA,,,,,,,,,,,016000,PUNJABI ,139,83,56
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,515,275,240
00,INDIA,,,,,,,,,,,020000,TAMIL ,7661,4735,2926
00,INDIA,,,,,,,,,,,021000,TELUGU ,23710,13706,10004
00,INDIA,,,,,,,,,,,022000,URDU,3739,2019,1720
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,16,7,9
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,32,17,15
00,INDIA,,,,,,,,,,,037000,COORGI/KODAGU ,21,14,7
00,INDIA,,,,,,,,,,,040000,ENGLISH ,78225,48047,30178
00,INDIA,,,,,,,,,,,044000,GONDI,3,2,1
00,INDIA,,,,,,,,,,,048000,HO,1,1,0
00,INDIA,,,,,,,,,,,075000,LAHNDA ,1,0,1
00,INDIA,,,,,,,,,,,091000,MUNDA,1,1,0
00,INDIA,,,,,,,,,,,094000,NISSI/DAFLA ,1,0,1
00,INDIA,,,,,,,,,,,114000,THADO ,1,1,0
00,INDIA,,,,,,,,,,,115000,TIBETAN ,1,1,0
00,INDIA,,,,,,,,,,,117000,TULU ,1378,756,622
00,INDIA,,,,,,,,,,,124000,OTHERS,1280,767,513
00,INDIA,,,,,,008000,KASHMIRI ,104815,56637,48178,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,7,7,0
00,INDIA,,,,,,,,,,,002000,BENGALI ,6,5,1
00,INDIA,,,,,,,,,,,004000,DOGRI ,286,161,125
00,INDIA,,,,,,,,,,,005000,GUJARATI,5,2,3
00,INDIA,,,,,,,,,,,007000,KANNADA,3,2,1
00,INDIA,,,,,,,,,,,009000,KONKANI,3,2,1
00,INDIA,,,,,,,,,,,010000,MAITHILI ,1,1,0
00,INDIA,,,,,,,,,,,013000,MARATHI ,13,10,3
00,INDIA,,,,,,,,,,,014000,NEPALI ,17,11,6
00,INDIA,,,,,,,,,,,015000,ODIA ,5,3,2
00,INDIA,,,,,,,,,,,016000,PUNJABI ,158,97,61
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,3,1,2
00,INDIA,,,,,,,,,,,019000,SINDHI,1,0,1
00,INDIA,,,,,,,,,,,021000,TELUGU ,1,1,0
00,INDIA,,,,,,,,,,,022000,URDU,38542,22580,15962
00,INDIA,,,,,,,,,,,024000,AFGHANI/KABULI/PASHTO ,11,8,3
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,16,12,4
00,INDIA,,,,,,,,,,,029000,BALTI ,3,1,2
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,3,3,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,1908,1068,840
00,INDIA,,,,,,,,,,,053000,KHANDESHI,26,14,12
00,INDIA,,,,,,,,,,,054000,KHARIA ,1,0,1
00,INDIA,,,,,,,,,,,073000,LADAKHI ,22,9,13
00,INDIA,,,,,,,,,,,075000,LAHNDA ,7,3,4
00,INDIA,,,,,,,,,,,109000,SHINA,1,1,0
00,INDIA,,,,,,,,,,,124000,OTHERS,17,11,6
00,INDIA,,,,,,009000,KONKANI,33578,18312,15266,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,1,1,0
00,INDIA,,,,,,,,,,,002000,BENGALI ,24,15,9
00,INDIA,,,,,,,,,,,004000,DOGRI ,5,3,2
00,INDIA,,,,,,,,,,,005000,GUJARATI,37,20,17
00,INDIA,,,,,,,,,,,007000,KANNADA,1834,1028,806
00,INDIA,,,,,,,,,,,010000,MAITHILI ,3,3,0
00,INDIA,,,,,,,,,,,011000,MALAYALAM,19,12,7
00,INDIA,,,,,,,,,,,013000,MARATHI ,4377,2395,1982
00,INDIA,,,,,,,,,,,014000,NEPALI ,8,5,3
00,INDIA,,,,,,,,,,,015000,ODIA ,7,5,2
00,INDIA,,,,,,,,,,,016000,PUNJABI ,9,4,5
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,9,8,1
00,INDIA,,,,,,,,,,,018000,SANTALI ,2,1,1
00,INDIA,,,,,,,,,,,020000,TAMIL ,16,9,7
00,INDIA,,,,,,,,,,,021000,TELUGU ,34,21,13
00,INDIA,,,,,,,,,,,022000,URDU,811,391,420
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,9,6,3
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,1,1,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,6253,3530,2723
00,INDIA,,,,,,,,,,,075000,LAHNDA ,1,1,0
00,INDIA,,,,,,,,,,,117000,TULU ,11,2,9
00,INDIA,,,,,,,,,,,124000,OTHERS,15,13,2
00,INDIA,,,,,,010000,MAITHILI ,575163,311010,264153,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,88,68,20
00,INDIA,,,,,,,,,,,002000,BENGALI ,919,537,382
00,INDIA,,,,,,,,,,,004000,DOGRI ,15,11,4
00,INDIA,,,,,,,,,,,005000,GUJARATI,96,60,36
00,INDIA,,,,,,,,,,,007000,KANNADA,33,28,5
00,INDIA,,,,,,,,,,,008000,KASHMIRI ,1,1,0
00,INDIA,,,,,,,,,,,009000,KONKANI,11,8,3
00,INDIA,,,,,,,,,,,012000,MANIPURI ,1,0,1
00,INDIA,,,,,,,,,,,013000,MARATHI ,480,310,170
00,INDIA,,,,,,,,,,,014000,NEPALI ,211,107,104
00,INDIA,,,,,,,,,,,015000,ODIA ,51,30,21
00,INDIA,,,,,,,,,,,016000,PUNJABI ,170,120,50
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,1661,1027,634
00,INDIA,,,,,,,,,,,018000,SANTALI ,27,18,9
00,INDIA,,,,,,,,,,,019000,SINDHI,2,2,0
00,INDIA,,,,,,,,,,,020000,TAMIL ,3,1,2
00,INDIA,,,,,,,,,,,021000,TELUGU ,8,6,2
00,INDIA,,,,,,,,,,,022000,URDU,1798,1009,789
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,41,27,14
00,INDIA,,,,,,,,,,,040000,ENGLISH ,26183,17041,9142
00,INDIA,,,,,,,,,,,045000,HALABI,7,7,0
00,INDIA,,,,,,,,,,,048000,HO,1,1,0
00,INDIA,,,,,,,,,,,072000,KURUKH/ORAON ,5,3,2
00,INDIA,,,,,,,,,,,092000,MUNDARI ,3,2,1
00,INDIA,,,,,,,,,,,102000,RABHA ,1,1,0
00,INDIA,,,,,,,,,,,117000,TULU ,2,2,0
00,INDIA,,,,,,,,,,,124000,OTHERS,267,143,124
00,INDIA,,,,,,011000,MALAYALAM,27207,15175,12032,,,,,
00,INDIA,,,,,,,,,,,001000,ASSAMESE,6,4,2
00,INDIA,,,,,,,,,,,002000,BENGALI ,54,34,20
00,INDIA,,,,,,,,,,,005000,GUJARATI,87,51,36
00,INDIA,,,,,,,,,,,007000,KANNADA,226,129,97
00,INDIA,,,,,,,,,,,008000,KASHMIRI ,1,1,0
00,INDIA,,,,,,,,,,,009000,KONKANI,41,22,19
00,INDIA,,,,,,,,,,,010000,MAITHILI ,6,2,4
00,INDIA,,,,,,,,,,,013000,MARATHI ,205,110,95
00,INDIA,,,,,,,,,,,014000,NEPALI ,12,10,2
00,INDIA,,,,,,,,,,,015000,ODIA ,13,8,5
00,INDIA,,,,,,,,,,,016000,PUNJABI ,28,18,10
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,22,14,8
00,INDIA,,,,,,,,,,,020000,TAMIL ,318,196,122
00,INDIA,,,,,,,,,,,021000,TELUGU ,79,46,33
00,INDIA,,,,,,,,,,,022000,URDU,75,43,32
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,16,11,5
00,INDIA,,,,,,,,,,,030000,BHILI/BHILODI ,5,2,3
00,INDIA,,,,,,,,,,,037000,COORGI/KODAGU ,1,1,0
